transaction_id,event_ts,amount,merchant_category,channel,country_risk,prior_chargebacks,velocity_24h,account_age_days,is_weekend,is_fraud,chargeback_loss
34,2025-01-03T18:00:00,142.86,Retail,Online,2,0,3,324,0,0,0.0
35,2025-01-03T20:00:00,61.93,Cash Advance,ATM,1,0,4,400,0,0,0.0
36,2025-01-03T22:00:00,234.06,Travel,Card Present,1,0,3,461,0,0,0.0
37,2025-01-04T00:00:00,136.95,Dining,Card Present,1,0,3,581,1,0,0.0
38,2025-01-04T02:00:00,127.81,Retail,Card Present,3,0,3,497,1,0,0.0
39,2025-01-04T04:00:00,225.82,Dining,Online,2,0,3,632,1,0,0.0
40,2025-01-04T06:00:00,215.91,Dining,Mobile,1,0,2,726,1,0,0.0
41,2025-01-04T08:00:00,156.27,Retail,ATM,1,0,1,312,1,0,0.0
42,2025-01-04T10:00:00,284.98,Travel,Online,1,0,2,7,1,1,214.33
43,2025-01-04T12:00:00,254.68,Retail,Card Present,1,0,3,375,1,0,0.0
44,2025-01-04T14:00:00,122.59,Retail,Card Present,1,0,5,569,1,0,0.0
45,2025-01-04T16:00:00,138.82,Subscription,Online,1,0,3,374,1,0,0.0
46,2025-01-04T18:00:00,151.7,Dining,Mobile,1,0,5,528,1,0,0.0
47,2025-01-04T20:00:00,108.81,Subscription,Card Present,1,0,4,728,1,0,0.0
48,2025-01-04T22:00:00,199.72,Dining,ATM,2,1,3,581,1,0,0.0
49,2025-01-05T00:00:00,140.96,Electronics,Mobile,1,1,5,244,1,0,0.0
50,2025-01-05T02:00:00,112.14,Cash Advance,ATM,2,0,5,494,1,0,0.0
51,2025-01-05T04:00:00,164.24,Cash Advance,ATM,2,0,3,605,1,0,0.0
52,2025-01-05T06:00:00,149.29,Retail,Online,2,0,1,171,1,0,0.0
53,2025-01-05T08:00:00,184.36,Dining,Card Present,2,0,4,142,1,0,0.0
54,2025-01-05T10:00:00,108.68,Dining,Mobile,3,0,5,654,1,0,0.0
55,2025-01-05T12:00:00,104.58,Subscription,Online,3,0,3,475,1,0,0.0
56,2025-01-05T14:00:00,132.38,Travel,ATM,1,1,1,459,1,0,0.0
57,2025-01-05T16:00:00,68.93,Retail,ATM,3,0,3,199,1,0,0.0
58,2025-01-05T18:00:00,310.43,Cash Advance,ATM,1,1,3,201,1,0,0.0
59,2025-01-05T20:00:00,285.06,Electronics,ATM,1,0,2,277,1,0,0.0
60,2025-01-05T22:00:00,219.58,Subscription,Mobile,1,1,4,404,1,0,0.0
61,2025-01-06T00:00:00,200.28,Cash Advance,Mobile,1,0,5,407,0,0,0.0
62,2025-01-06T02:00:00,156.56,Travel,Online,3,0,3,244,0,0,0.0
63,2025-01-06T04:00:00,141.71,Cash Advance,ATM,1,0,3,575,0,0,0.0
64,2025-01-06T06:00:00,198.37,Retail,ATM,1,0,1,488,0,0,0.0
65,2025-01-06T08:00:00,82.34,Electronics,Online,3,0,4,313,0,0,0.0
66,2025-01-06T10:00:00,445.85,Cash Advance,Mobile,1,1,3,482,0,0,0.0
67,2025-01-06T12:00:00,552.13,Retail,Mobile,1,0,3,453,0,0,0.0
68,2025-01-06T14:00:00,210.7,Subscription,Mobile,1,0,5,225,0,0,0.0
69,2025-01-06T16:00:00,193.26,Dining,Online,1,1,2,474,0,0,0.0
70,2025-01-06T18:00:00,207.38,Electronics,Mobile,2,1,4,211,0,0,0.0
71,2025-01-06T20:00:00,229.38,Travel,Card Present,1,1,4,390,0,0,0.0
72,2025-01-06T22:00:00,161.93,Travel,Online,1,0,1,683,0,0,0.0
73,2025-01-07T00:00:00,48.32,Cash Advance,Card Present,1,0,2,699,0,0,0.0
74,2025-01-07T02:00:00,287.09,Retail,ATM,1,0,3,611,0,0,0.0
75,2025-01-07T04:00:00,118.29,Retail,Online,1,0,3,593,0,0,0.0
76,2025-01-07T06:00:00,560.63,Dining,Mobile,2,1,4,467,0,0,0.0
77,2025-01-07T08:00:00,171.21,Cash Advance,Mobile,3,0,3,414,0,0,0.0
78,2025-01-07T10:00:00,81.57,Retail,Card Present,1,0,3,656,0,0,0.0
79,2025-01-07T12:00:00,273.54,Electronics,Mobile,1,0,1,397,0,0,0.0
80,2025-01-07T14:00:00,144.62,Dining,Online,1,0,2,474,0,0,0.0
81,2025-01-07T16:00:00,46.5,Cash Advance,Mobile,1,1,3,441,0,0,0.0
82,2025-01-07T18:00:00,120.37,Subscription,Mobile,2,2,3,199,0,0,0.0
83,2025-01-07T20:00:00,308.63,Subscription,Online,1,0,2,297,0,0,0.0
84,2025-01-07T22:00:00,270.14,Electronics,Card Present,1,0,3,287,0,0,0.0
85,2025-01-08T00:00:00,511.11,Subscription,ATM,2,1,1,628,0,0,0.0
86,2025-01-08T02:00:00,389.72,Retail,Online,1,0,3,858,0,0,0.0
87,2025-01-08T04:00:00,91.49,Subscription,Card Present,2,2,5,471,0,0,0.0
88,2025-01-08T06:00:00,111.75,Dining,ATM,1,0,2,247,0,0,0.0
89,2025-01-08T08:00:00,102.77,Travel,Online,1,0,1,314,0,0,0.0
90,2025-01-08T10:00:00,243.12,Dining,Mobile,2,0,1,483,0,0,0.0
91,2025-01-08T12:00:00,65.84,Retail,ATM,1,1,3,304,0,0,0.0
92,2025-01-08T14:00:00,78.97,Dining,Mobile,1,0,4,294,0,0,0.0
93,2025-01-08T16:00:00,322.52,Cash Advance,Mobile,2,1,1,366,0,0,0.0
94,2025-01-08T18:00:00,318.8,Dining,Mobile,2,0,3,330,0,0,0.0
95,2025-01-08T20:00:00,200.16,Subscription,Online,2,1,1,268,0,0,0.0
96,2025-01-08T22:00:00,98.65,Subscription,ATM,1,0,2,232,0,0,0.0
97,2025-01-09T00:00:00,25.68,Travel,ATM,1,1,3,403,0,0,0.0
98,2025-01-09T02:00:00,273.65,Dining,Card Present,2,1,2,390,0,0,0.0
99,2025-01-09T04:00:00,94.9,Retail,Card Present,2,0,3,448,0,0,0.0
100,2025-01-09T06:00:00,138.43,Electronics,ATM,3,0,3,656,0,0,0.0
101,2025-01-09T08:00:00,224.29,Electronics,Card Present,1,0,2,251,0,0,0.0
102,2025-01-09T10:00:00,217.96,Cash Advance,ATM,1,0,3,260,0,0,0.0
103,2025-01-09T12:00:00,146.07,Travel,ATM,1,0,1,490,0,0,0.0
104,2025-01-09T14:00:00,99.8,Cash Advance,ATM,1,2,3,315,0,0,0.0
105,2025-01-09T16:00:00,131.4,Travel,ATM,1,0,1,575,0,0,0.0
106,2025-01-09T18:00:00,216.93,Dining,Online,1,1,6,333,0,0,0.0
107,2025-01-09T20:00:00,68.04,Travel,Mobile,2,1,3,390,0,0,0.0
108,2025-01-09T22:00:00,123.59,Dining,Online,2,0,3,168,0,0,0.0
109,2025-01-10T00:00:00,179.79,Travel,ATM,1,3,3,254,0,0,0.0
110,2025-01-10T02:00:00,316.14,Dining,ATM,1,0,2,618,0,0,0.0
111,2025-01-10T04:00:00,87.39,Dining,Mobile,1,0,5,384,0,0,0.0
112,2025-01-10T06:00:00,101.27,Electronics,Online,1,0,4,404,0,0,0.0
113,2025-01-10T08:00:00,273.98,Retail,Mobile,2,1,2,448,0,0,0.0
114,2025-01-10T10:00:00,66.88,Dining,ATM,1,1,3,460,0,0,0.0
115,2025-01-10T12:00:00,118.24,Subscription,Online,1,0,1,254,0,0,0.0
116,2025-01-10T14:00:00,316.75,Dining,Mobile,1,0,2,468,0,0,0.0
117,2025-01-10T16:00:00,98.38,Subscription,Online,1,0,4,291,0,0,0.0
118,2025-01-10T18:00:00,54.58,Travel,Online,1,0,5,529,0,0,0.0
119,2025-01-10T20:00:00,320.66,Electronics,Online,1,2,3,465,0,1,292.39
120,2025-01-10T22:00:00,221.8,Electronics,Mobile,1,1,4,242,0,0,0.0
121,2025-01-11T00:00:00,31.72,Electronics,Mobile,2,1,2,372,1,0,0.0
122,2025-01-11T02:00:00,193.81,Dining,ATM,2,2,4,562,1,0,0.0
123,2025-01-11T04:00:00,90.79,Travel,Mobile,2,1,1,505,1,0,0.0
124,2025-01-11T06:00:00,196.0,Retail,Mobile,1,0,3,487,1,0,0.0
125,2025-01-11T08:00:00,102.61,Electronics,ATM,1,0,3,543,1,0,0.0
126,2025-01-11T10:00:00,528.49,Retail,Mobile,1,0,4,548,1,0,0.0
127,2025-01-11T12:00:00,202.48,Travel,ATM,2,0,2,416,1,0,0.0
128,2025-01-11T14:00:00,260.65,Cash Advance,ATM,1,0,1,321,1,0,0.0
129,2025-01-11T16:00:00,228.24,Cash Advance,Mobile,2,0,2,231,1,0,0.0
130,2025-01-11T18:00:00,190.42,Dining,ATM,2,0,5,286,1,0,0.0
131,2025-01-11T20:00:00,236.04,Subscription,Online,1,0,2,280,1,0,0.0
132,2025-01-11T22:00:00,90.54,Retail,Online,2,0,1,178,1,0,0.0
133,2025-01-12T00:00:00,39.39,Cash Advance,Card Present,1,0,4,322,1,0,0.0
134,2025-01-12T02:00:00,179.54,Retail,Online,2,0,2,682,1,0,0.0
135,2025-01-12T04:00:00,464.7,Cash Advance,Online,2,1,4,326,1,0,0.0
136,2025-01-12T06:00:00,90.47,Retail,Online,1,1,3,435,1,0,0.0
137,2025-01-12T08:00:00,363.41,Subscription,Online,1,0,2,397,1,0,0.0
138,2025-01-12T10:00:00,214.5,Retail,Mobile,3,1,1,736,1,0,0.0
139,2025-01-12T12:00:00,73.62,Retail,ATM,1,0,2,605,1,0,0.0
140,2025-01-12T14:00:00,439.94,Electronics,ATM,1,0,5,330,1,0,0.0
141,2025-01-12T16:00:00,252.68,Travel,ATM,1,1,4,386,1,0,0.0
142,2025-01-12T18:00:00,125.55,Subscription,ATM,1,0,3,415,1,0,0.0
143,2025-01-12T20:00:00,417.84,Electronics,Online,2,1,1,471,1,0,0.0
144,2025-01-12T22:00:00,251.94,Electronics,ATM,1,0,4,254,1,0,0.0
145,2025-01-13T00:00:00,85.39,Retail,Online,3,0,4,283,0,0,0.0
146,2025-01-13T02:00:00,366.09,Travel,ATM,1,0,2,437,0,0,0.0
147,2025-01-13T04:00:00,70.37,Dining,Online,1,1,3,434,0,0,0.0
148,2025-01-13T06:00:00,243.26,Cash Advance,Mobile,1,0,3,555,0,0,0.0
149,2025-01-13T08:00:00,63.35,Cash Advance,ATM,1,0,3,479,0,0,0.0
150,2025-01-13T10:00:00,91.15,Travel,Online,1,0,2,454,0,0,0.0
151,2025-01-13T12:00:00,308.5,Dining,ATM,1,1,3,357,0,0,0.0
152,2025-01-13T14:00:00,89.82,Dining,Card Present,1,0,3,343,0,0,0.0
153,2025-01-13T16:00:00,465.51,Travel,Card Present,2,0,3,296,0,0,0.0
154,2025-01-13T18:00:00,142.38,Subscription,ATM,2,0,5,299,0,0,0.0
155,2025-01-13T20:00:00,113.67,Electronics,Card Present,2,0,3,377,0,0,0.0
156,2025-01-13T22:00:00,132.35,Dining,Card Present,2,0,1,409,0,0,0.0
157,2025-01-14T00:00:00,96.33,Electronics,Online,1,0,3,292,0,0,0.0
158,2025-01-14T02:00:00,120.63,Dining,ATM,3,0,4,108,0,0,0.0
159,2025-01-14T04:00:00,181.7,Dining,Online,1,0,2,637,0,0,0.0
160,2025-01-14T06:00:00,167.36,Dining,ATM,2,1,4,363,0,0,0.0
161,2025-01-14T08:00:00,122.56,Subscription,Mobile,2,0,2,222,0,0,0.0
162,2025-01-14T10:00:00,96.34,Dining,Mobile,2,0,3,406,0,0,0.0
163,2025-01-14T12:00:00,211.09,Cash Advance,ATM,2,0,1,376,0,0,0.0
164,2025-01-14T14:00:00,163.7,Dining,ATM,2,1,2,283,0,0,0.0
165,2025-01-14T16:00:00,229.26,Subscription,Card Present,2,0,1,613,0,0,0.0
166,2025-01-14T18:00:00,335.88,Subscription,Mobile,1,0,3,335,0,0,0.0
167,2025-01-14T20:00:00,284.52,Cash Advance,Online,2,1,2,350,0,0,0.0
168,2025-01-14T22:00:00,101.75,Travel,ATM,2,0,1,589,0,0,0.0
169,2025-01-15T00:00:00,120.18,Travel,Online,3,0,3,285,0,0,0.0
170,2025-01-15T02:00:00,315.83,Subscription,Card Present,1,1,1,333,0,0,0.0
171,2025-01-15T04:00:00,253.53,Subscription,ATM,2,0,1,304,0,0,0.0
172,2025-01-15T06:00:00,218.73,Cash Advance,Card Present,2,1,3,489,0,0,0.0
173,2025-01-15T08:00:00,136.94,Cash Advance,Online,1,0,1,32,0,0,0.0
174,2025-01-15T10:00:00,175.14,Travel,Online,3,0,4,328,0,0,0.0
175,2025-01-15T12:00:00,151.27,Retail,Mobile,3,0,2,547,0,0,0.0
176,2025-01-15T14:00:00,181.18,Travel,ATM,1,2,3,328,0,0,0.0
177,2025-01-15T16:00:00,257.78,Dining,Card Present,1,1,2,360,0,0,0.0
178,2025-01-15T18:00:00,158.36,Retail,Card Present,1,0,2,598,0,0,0.0
179,2025-01-15T20:00:00,87.32,Travel,Online,3,1,4,456,0,0,0.0
180,2025-01-15T22:00:00,247.59,Travel,Online,1,2,2,262,0,0,0.0
181,2025-01-16T00:00:00,185.92,Subscription,Card Present,3,0,4,876,0,0,0.0
182,2025-01-16T02:00:00,37.45,Subscription,Card Present,2,0,2,396,0,0,0.0
183,2025-01-16T04:00:00,278.61,Dining,Mobile,2,0,1,553,0,0,0.0
184,2025-01-16T06:00:00,80.59,Subscription,Online,1,0,3,440,0,0,0.0
185,2025-01-16T08:00:00,223.48,Subscription,ATM,1,0,3,388,0,0,0.0
186,2025-01-16T10:00:00,119.51,Dining,ATM,1,0,1,180,0,0,0.0
187,2025-01-16T12:00:00,152.0,Retail,Online,1,0,2,421,0,0,0.0
188,2025-01-16T14:00:00,298.48,Subscription,Card Present,1,0,2,392,0,0,0.0
189,2025-01-16T16:00:00,239.1,Electronics,Card Present,2,0,3,52,0,0,0.0
190,2025-01-16T18:00:00,158.45,Cash Advance,Online,3,0,4,299,0,0,0.0
191,2025-01-16T20:00:00,50.13,Subscription,Online,1,1,1,572,0,0,0.0
192,2025-01-16T22:00:00,115.9,Cash Advance,Online,1,0,3,299,0,0,0.0
193,2025-01-17T00:00:00,197.94,Cash Advance,Online,1,0,2,252,0,0,0.0
194,2025-01-17T02:00:00,147.3,Dining,Card Present,1,1,3,234,0,0,0.0
195,2025-01-17T04:00:00,351.81,Subscription,ATM,1,0,3,549,0,0,0.0
196,2025-01-17T06:00:00,202.52,Travel,ATM,3,0,4,225,0,0,0.0
197,2025-01-17T08:00:00,171.67,Travel,ATM,1,0,6,337,0,0,0.0
198,2025-01-17T10:00:00,31.96,Dining,ATM,2,1,4,732,0,0,0.0
199,2025-01-17T12:00:00,95.64,Travel,Mobile,1,1,3,503,0,0,0.0
200,2025-01-17T14:00:00,37.09,Electronics,Mobile,1,0,2,595,0,0,0.0
201,2025-01-17T16:00:00,305.05,Travel,Online,1,0,1,346,0,0,0.0
202,2025-01-17T18:00:00,165.45,Dining,Online,1,0,2,133,0,0,0.0
203,2025-01-17T20:00:00,91.33,Electronics,ATM,2,0,5,341,0,0,0.0
204,2025-01-17T22:00:00,155.69,Cash Advance,Card Present,1,1,1,233,0,0,0.0
205,2025-01-18T00:00:00,126.16,Cash Advance,Online,2,0,3,369,1,0,0.0
206,2025-01-18T02:00:00,242.53,Subscription,Mobile,2,1,2,401,1,0,0.0
207,2025-01-18T04:00:00,210.52,Retail,ATM,1,0,3,219,1,0,0.0
208,2025-01-18T06:00:00,380.46,Cash Advance,Online,1,0,3,286,1,0,0.0
209,2025-01-18T08:00:00,104.94,Cash Advance,Card Present,1,0,3,503,1,0,0.0
210,2025-01-18T10:00:00,279.87,Retail,Mobile,1,0,1,5,1,0,0.0
211,2025-01-18T12:00:00,132.87,Travel,Mobile,2,0,5,611,1,0,0.0
212,2025-01-18T14:00:00,118.82,Travel,Card Present,1,0,1,463,1,0,0.0
213,2025-01-18T16:00:00,212.97,Travel,Online,2,0,2,467,1,0,0.0
214,2025-01-18T18:00:00,101.54,Travel,ATM,3,0,4,484,1,0,0.0
215,2025-01-18T20:00:00,157.36,Dining,Online,2,0,1,276,1,0,0.0
216,2025-01-18T22:00:00,234.92,Electronics,Mobile,1,0,2,599,1,0,0.0
217,2025-01-19T00:00:00,184.22,Electronics,Online,1,1,3,435,1,0,0.0
218,2025-01-19T02:00:00,141.02,Cash Advance,Card Present,1,2,2,397,1,0,0.0
219,2025-01-19T04:00:00,286.15,Cash Advance,Online,2,1,5,378,1,0,0.0
220,2025-01-19T06:00:00,278.47,Dining,ATM,1,0,4,313,1,0,0.0
221,2025-01-19T08:00:00,265.47,Subscription,Online,3,0,2,565,1,0,0.0
222,2025-01-19T10:00:00,218.87,Cash Advance,Card Present,2,1,4,519,1,0,0.0
223,2025-01-19T12:00:00,210.76,Cash Advance,Online,1,0,2,293,1,0,0.0
224,2025-01-19T14:00:00,100.81,Cash Advance,Card Present,1,2,2,425,1,0,0.0
225,2025-01-19T16:00:00,230.83,Dining,ATM,1,0,4,579,1,0,0.0
226,2025-01-19T18:00:00,45.85,Retail,Online,1,2,2,372,1,0,0.0
227,2025-01-19T20:00:00,234.07,Travel,ATM,1,0,3,467,1,0,0.0
228,2025-01-19T22:00:00,343.21,Subscription,Online,2,0,1,791,1,0,0.0
229,2025-01-20T00:00:00,61.39,Subscription,ATM,1,1,4,515,0,0,0.0
230,2025-01-20T02:00:00,185.72,Electronics,Online,1,1,5,108,0,0,0.0
231,2025-01-20T04:00:00,157.48,Dining,Mobile,2,0,2,610,0,0,0.0
232,2025-01-20T06:00:00,160.35,Dining,ATM,1,1,3,560,0,0,0.0
233,2025-01-20T08:00:00,87.1,Electronics,Mobile,1,0,4,337,0,0,0.0
234,2025-01-20T10:00:00,289.75,Subscription,Mobile,1,1,2,408,0,0,0.0
235,2025-01-20T12:00:00,459.65,Subscription,Card Present,2,1,3,281,0,0,0.0
236,2025-01-20T14:00:00,180.69,Travel,Online,3,1,3,454,0,0,0.0
237,2025-01-20T16:00:00,132.99,Dining,Card Present,1,0,3,522,0,0,0.0
238,2025-01-20T18:00:00,53.49,Electronics,ATM,1,0,1,629,0,0,0.0
239,2025-01-20T20:00:00,129.83,Travel,ATM,1,0,4,407,0,0,0.0
240,2025-01-20T22:00:00,238.98,Dining,ATM,1,0,1,636,0,0,0.0
241,2025-01-21T00:00:00,258.06,Retail,Online,2,0,1,528,0,0,0.0
242,2025-01-21T02:00:00,129.07,Cash Advance,Card Present,1,0,4,123,0,0,0.0
243,2025-01-21T04:00:00,172.79,Travel,Online,1,0,2,250,0,0,0.0
244,2025-01-21T06:00:00,15.22,Electronics,Card Present,1,0,2,511,0,0,0.0
245,2025-01-21T08:00:00,156.12,Cash Advance,ATM,2,0,4,542,0,0,0.0
246,2025-01-21T10:00:00,209.39,Subscription,Card Present,1,1,3,359,0,0,0.0
247,2025-01-21T12:00:00,108.62,Dining,Mobile,1,1,1,170,0,0,0.0
248,2025-01-21T14:00:00,177.75,Travel,Card Present,1,2,3,33,0,0,0.0
249,2025-01-21T16:00:00,82.49,Travel,Card Present,1,0,3,140,0,0,0.0
250,2025-01-21T18:00:00,143.04,Cash Advance,Card Present,3,3,5,205,0,0,0.0
251,2025-01-21T20:00:00,105.28,Electronics,ATM,1,0,3,660,0,0,0.0
252,2025-01-21T22:00:00,195.94,Cash Advance,Card Present,1,1,2,528,0,0,0.0
253,2025-01-22T00:00:00,137.36,Travel,Card Present,1,1,1,393,0,0,0.0
254,2025-01-22T02:00:00,164.23,Retail,Online,1,1,4,563,0,0,0.0
255,2025-01-22T04:00:00,105.19,Travel,ATM,1,0,1,374,0,0,0.0
256,2025-01-22T06:00:00,120.38,Cash Advance,Card Present,1,3,4,148,0,0,0.0
257,2025-01-22T08:00:00,212.29,Subscription,Online,1,0,3,427,0,0,0.0
258,2025-01-22T10:00:00,223.13,Travel,Card Present,3,1,2,405,0,0,0.0
259,2025-01-22T12:00:00,63.95,Dining,ATM,1,0,1,500,0,0,0.0
260,2025-01-22T14:00:00,364.58,Retail,Card Present,1,0,3,525,0,0,0.0
261,2025-01-22T16:00:00,140.07,Retail,ATM,2,0,4,343,0,0,0.0
262,2025-01-22T18:00:00,116.98,Retail,Online,1,0,3,284,0,0,0.0
263,2025-01-22T20:00:00,197.49,Dining,Online,1,2,2,644,0,0,0.0
264,2025-01-22T22:00:00,353.31,Cash Advance,Card Present,3,0,2,622,0,0,0.0
265,2025-01-23T00:00:00,107.15,Retail,Card Present,1,0,1,544,0,0,0.0
266,2025-01-23T02:00:00,161.79,Retail,Online,1,0,1,456,0,0,0.0
267,2025-01-23T04:00:00,141.76,Travel,Online,3,0,5,154,0,0,0.0
268,2025-01-23T06:00:00,388.58,Electronics,Mobile,1,3,3,398,0,1,280.41
269,2025-01-23T08:00:00,369.37,Dining,Online,1,0,2,495,0,0,0.0
270,2025-01-23T10:00:00,161.47,Retail,Online,2,1,4,596,0,0,0.0
271,2025-01-23T12:00:00,248.44,Electronics,ATM,1,1,2,136,0,0,0.0
272,2025-01-23T14:00:00,241.62,Cash Advance,Online,3,0,1,235,0,0,0.0
273,2025-01-23T16:00:00,73.07,Retail,Online,1,2,4,559,0,0,0.0
274,2025-01-23T18:00:00,135.98,Subscription,Online,1,1,4,341,0,0,0.0
275,2025-01-23T20:00:00,70.11,Electronics,Mobile,2,2,5,586,0,0,0.0
276,2025-01-23T22:00:00,169.2,Cash Advance,Mobile,1,1,2,530,0,0,0.0
277,2025-01-24T00:00:00,50.63,Retail,Mobile,2,1,5,948,0,0,0.0
278,2025-01-24T02:00:00,230.59,Travel,Mobile,2,1,2,459,0,0,0.0
279,2025-01-24T04:00:00,216.7,Dining,Card Present,2,0,2,511,0,0,0.0
280,2025-01-24T06:00:00,60.92,Cash Advance,Mobile,2,1,1,527,0,0,0.0
281,2025-01-24T08:00:00,169.48,Retail,Online,1,0,4,564,0,0,0.0
282,2025-01-24T10:00:00,132.16,Cash Advance,Mobile,1,2,3,551,0,0,0.0
283,2025-01-24T12:00:00,78.29,Subscription,Mobile,1,1,5,426,0,0,0.0
284,2025-01-24T14:00:00,137.25,Subscription,Mobile,1,0,3,338,0,0,0.0
285,2025-01-24T16:00:00,87.4,Travel,ATM,2,1,4,187,0,0,0.0
286,2025-01-24T18:00:00,318.61,Retail,Mobile,1,1,3,118,0,0,0.0
287,2025-01-24T20:00:00,205.77,Subscription,ATM,1,0,4,272,0,0,0.0
288,2025-01-24T22:00:00,100.06,Dining,ATM,1,0,2,230,0,0,0.0
289,2025-01-25T00:00:00,322.48,Cash Advance,Online,1,1,4,666,1,0,0.0
290,2025-01-25T02:00:00,126.34,Dining,Online,1,0,1,333,1,0,0.0
291,2025-01-25T04:00:00,163.7,Subscription,Card Present,3,0,2,677,1,0,0.0
292,2025-01-25T06:00:00,105.51,Dining,ATM,1,0,1,309,1,0,0.0
293,2025-01-25T08:00:00,151.97,Dining,Online,1,0,1,434,1,0,0.0
294,2025-01-25T10:00:00,204.24,Electronics,Online,1,1,3,281,1,0,0.0
295,2025-01-25T12:00:00,367.14,Retail,Online,1,1,4,622,1,0,0.0
296,2025-01-25T14:00:00,287.68,Travel,Card Present,1,0,4,466,1,0,0.0
297,2025-01-25T16:00:00,223.48,Subscription,ATM,1,1,3,381,1,0,0.0
298,2025-01-25T18:00:00,155.94,Cash Advance,Card Present,1,0,3,504,1,0,0.0
299,2025-01-25T20:00:00,124.12,Retail,Online,3,0,3,415,1,0,0.0
300,2025-01-25T22:00:00,143.18,Cash Advance,ATM,2,1,2,146,1,0,0.0
301,2025-01-26T00:00:00,413.47,Cash Advance,ATM,1,1,5,470,1,0,0.0
302,2025-01-26T02:00:00,137.57,Dining,Mobile,1,0,2,272,1,0,0.0
303,2025-01-26T04:00:00,404.98,Electronics,Card Present,2,0,2,504,1,0,0.0
304,2025-01-26T06:00:00,213.51,Subscription,Card Present,1,0,5,535,1,0,0.0
305,2025-01-26T08:00:00,176.61,Subscription,ATM,1,1,5,127,1,0,0.0
306,2025-01-26T10:00:00,191.21,Cash Advance,ATM,2,0,2,667,1,0,0.0
307,2025-01-26T12:00:00,58.83,Retail,Online,1,0,4,511,1,0,0.0
308,2025-01-26T14:00:00,179.89,Travel,Mobile,2,0,2,412,1,0,0.0
309,2025-01-26T16:00:00,162.94,Retail,Online,1,1,1,336,1,0,0.0
310,2025-01-26T18:00:00,357.48,Dining,Online,1,0,3,243,1,0,0.0
311,2025-01-26T20:00:00,174.59,Electronics,Online,1,0,3,235,1,0,0.0
312,2025-01-26T22:00:00,89.97,Retail,Card Present,1,0,4,340,1,0,0.0
313,2025-01-27T00:00:00,101.35,Retail,ATM,3,0,4,434,0,0,0.0
314,2025-01-27T02:00:00,295.46,Travel,ATM,1,1,1,449,0,0,0.0
315,2025-01-27T04:00:00,177.74,Travel,Online,1,0,3,262,0,0,0.0
